name,owner,location,phone,email,services,categories,source_url
Scott Valley Swimming & Tennis Club,,"50 Underhill Rd, Mill Valley, CA 94941", (415) 383-3483,Info@Svstc.Com,,"Swimming Instruction, Private Swimming Pools, Recreation Centers, Sports & Entertainment Centers, Sports Clubs & Organizations, Sports Instruction, Tennis Courts-Private ",https://www.yellowpages.com/mill-valley-ca/mip/scott-valley-swimming-tennis-club-14095189
A-1 Pool Tables,,"558 Lewelling Blvd, San Leandro, CA 94579", (510) 483-6800,a1billiards@att.net,,"Billiard Equipment & Supplies, Billiard Table Repairing, Darts & Dart Boards, Games & Supplies, Sporting Goods ",https://www.yellowpages.com/san-leandro-ca/mip/a-1-pool-tables-962242?lid=1000437169921
Bases Loaded,,"11455 Folsom Blvd, Rancho Cordova, CA 95742", (916) 983-0633,info@ebasesloaded.com,,"Baseball Instruction, Baseball Pitching Machines, Sporting Goods, Sportswear, Uniforms ",https://www.yellowpages.com/rancho-cordova-ca/mip/bases-loaded-9074012?lid=1000437162413
Zalles Racquet Sports,,"969 Edgewater Blvd, Foster City, CA 94404", (650) 345-9727,zallesrs@gmail.com,,"Tennis Equipment & Supplies, Sporting Goods, Sportswear, Tennis Instruction, Tennis Racket Restringing & Repairing ",https://www.yellowpages.com/foster-city-ca/mip/zalles-racquet-sports-668768?lid=1000658580493
Pro Wrestling Revolution Training Academy,,"1725 Rogers Ave Ste I, San Jose, CA 95112", (408) 728-8318,,,Sports Instruction ,https://www.yellowpages.com/san-jose-ca/mip/pro-wrestling-revolution-training-academy-529583531?lid=1001552589100
Bridge Sportsmen's Center Inc.,,"1319 Spring St., Paso Robles, CA 93446", (805) 239-4867,info@bridgesportsmen.com,,"Ammunition, Guns & Gunsmiths, Sporting Goods ",https://www.yellowpages.com/paso-robles-ca/mip/bridge-sportsmens-center-inc-6504860?lid=1001462836845
Olde West Gun & Loan Co. Inc.,,"568 N Market St, Redding, CA 96003", (530) 243-8334,,,"Watches, Ammunition, Gold, Silver & Platinum Buyers & Dealers, Guns & Gunsmiths, Jewelers, Jewelry Buyers, Jewelry Repairing, Loans, Metal Detecting Equipment, Pawnbrokers, Silversmiths & Goldsmiths, Sporting Goods ",https://www.yellowpages.com/redding-ca/mip/olde-west-gun-loan-co-inc-549669414?lid=1001116627464
Hermits Hut Specialties,,"3184 Bechelli Ln, Redding, CA 96002", (530) 222-4511,info@hermitshut.com,"Ski & Snow Reports, Ski Repair, Bike Repairs, New Bicycle Parts, Bicycle Restoration, Online Shopping, Bicycle Parts, Cooking Equipment, Ski Bindings, Technical Rescue, Ski Clothing, Ski Goggles, Ski Poles, Camping Equipment, General Outdoor Clothing, Carabiner, Booties, Ski Boots, Ski Bags, First Aid Equipment & Supplies, Backpacks, Headgear, Hiking Equipment, Camping Furniture, Rain Gear, Skis, Protective Suit, Ski Sharpening, Ski & Snowboard Helmets, Outerwear, Snowboards, Custom Sporting Goods, Canteens, Jacket, Ladder, Sleeping Bags, Tents, Bicycles, Climbing Equipment, Snowshoes.","Camping Equipment, Bicycles-Wholesale & Manufacturers, Campgrounds & Recreational Vehicle Parks, Camping Equipment Rental, Climbing Equipment, Lodging, Ski Centers & Resorts, Sporting Goods, Tree Service ",https://www.yellowpages.com/redding-ca/mip/hermits-hut-specialties-535776481?lid=1001720750701
Dan Norwood,,, (714) 921-0149,dan@dan-norwood.com,,"Golf Instruction, Golf Courses, Sports Clubs & Organizations, Sports Instruction ",https://www.yellowpages.com/nationwide/mip/dan-norwood-462526949
Lifestylesupercenter.Com,,,,,,"Home Decor, Candles, Consumer Electronics, Jewels-Imitation Stones, Lawn & Garden Equipment & Supplies, Sporting Goods ",https://www.yellowpages.com/san-marcos-ca/mip/lifestylesupercenter-com-526250102?lid=1001480391161
Fig Garden Golf Club,,"7700 N Van Ness Blvd, Fresno, CA 93711", (559) 439-2928,charlie@figgardengolf.com,,"Golf Courses, Golf Course Equipment & Supplies, Golf Equipment & Supplies, Golf Instruction, Golf Practice Ranges, Private Golf Courses, Sporting Goods, Sports & Entertainment Centers, Sports Clubs & Organizations, Sports Instruction ",https://www.yellowpages.com/fresno-ca/mip/fig-garden-golf-club-1478332
Collette Martial Arts,,"1924 Plymouth St Unit C, Mountain View, CA 94043", (650) 318-1294,baykaju@gmail.com,,"Self Defense Instruction & Equipment, Exercise & Physical Fitness Programs, Martial Arts Instruction, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/mountain-view-ca/mip/collette-martial-arts-462471551
Delta Fencing Center,,"5758 Lorraine Ave, Stockton, CA 95210", (209) 244-5836,,,"Fencing Instruction, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/stockton-ca/mip/delta-fencing-center-462568521
Advanced Soccor Media,,"111 W Ocean Blvd, Long Beach, CA 90802", (562) 513-3740,,,"Sports Information Service, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/long-beach-ca/mip/advanced-soccor-media-461346175
Deep Canyon Tennis Club,,"73120 Frank Feltrop Dr, Palm Desert, CA 92260", (760) 346-0845,deepcanyon.office@gmail.com,,"Tennis Courts-Private, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/palm-desert-ca/mip/deep-canyon-tennis-club-462006824
Castle Creek Country Club,,"8797 Circle R Dr, Escondido, CA 92026", (760) 749-2422,castlecreekpr@gmail.com,,"Golf Courses, Private Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/escondido-ca/mip/castle-creek-country-club-460336581
Palm Desert Country Club,,"77200 California Dr, Palm Desert, CA 92211", (760) 345-0222,clubhouse@palmdesertgolf.com,,"Golf Courses, Banquet Halls & Reception Facilities, Private Clubs, Private Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/palm-desert-ca/mip/palm-desert-country-club-4600187
California Sports Center,,"838 Malone Rd, San Jose, CA 95125", (408) 269-2777,info@calsportscenter.com,,"Dancing Instruction, Camps-Recreational, Gymnastics Instruction, Party & Event Planners, Party Favors, Supplies & Services, Party Planning, Recreation Centers, Sports Clubs & Organizations, Sports Instruction, Swimming Instruction ",https://www.yellowpages.com/san-jose-ca/mip/california-sports-center-461720540
Stockton Indoor Sports Complex,,"3251 N Ad Art Rd, Stockton, CA 95215", (209) 931-8300,stocktonsportscomplex@yahoo.com,,"Sports & Entertainment Centers, Recreation Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/stockton-ca/mip/stockton-indoor-sports-complex-462507634
Plumas Pines Golf Resort,,"402 Poplar Valley Rd, Blairsden Graeagle, CA 96103", (530) 836-1420,pprgolf@psln.com,,"Golf Courses, Golf Equipment & Supplies, Golf Instruction, Golf Practice Ranges, Resorts, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/blairsden-graeagle-ca/mip/plumas-pines-golf-resort-460562379
La Jolla Recreation Center,,"615 Prospect St, La Jolla, CA 92037", (858) 552-1658,,,"Sports & Entertainment Centers, Recreation Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/la-jolla-ca/mip/la-jolla-recreation-center-460457647
Bullfrog Swim School,,, (559) 281-8650,info@bullfrogswimschool.com,,"Swimming Instruction, Sports Clubs & Organizations, Sports Instruction ",https://www.yellowpages.com/nationwide/mip/bullfrog-swim-school-457428814
Kraft Fight Hunger Bowl,,"400 Oyster Point Blvd #312, South San Francisco, CA 94080", (415) 625-2882,agardner@sfbowl.org,,"Colleges & Universities, Athletic Organizations, Event Ticket Sales, Football Clubs, Recreation Centers, Schools, Sports & Entertainment Centers, Sports & Entertainment Ticket Sales, Sports Clubs & Organizations ",https://www.yellowpages.com/south-san-francisco-ca/mip/kraft-fight-hunger-bowl-456843995
BWD Sports Management,,"131 S Rodeo Dr, Beverly Hills, CA 90212", (310) 858-1872,,,"Sports Promoters & Managers, Health Clubs, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/beverly-hills-ca/mip/bwd-sports-management-453582601
DarkHorse Golf Club,,"24150 Darkhorse Dr, Auburn, CA 95602", (530) 269-7900,geno@darkhorsegolf.com,,"Golf Courses, Banquet Halls & Reception Facilities, Golf Instruction, Golf Practice Ranges, Private Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations, Wedding Reception Locations & Services ",https://www.yellowpages.com/auburn-ca/mip/darkhorse-golf-club-458747581
Ramsey Tennis Group,,"1602 E Coast Hwy, Newport Beach, CA 92660", (949) 759-0711,,,"Tennis Courts-Private, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/newport-beach-ca/mip/ramsey-tennis-group-450781410
Goat Hill Park,,"2323 Goat Hill Dr, Oceanside, CA 92054", (760) 433-8590,GoathillGolf@Gmail.com,,"Golf Courses, Golf Equipment & Supplies, Golf Instruction, Golf Practice Ranges, Meeting & Event Planning Services, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/oceanside-ca/mip/goat-hill-park-457780242
Forest Park Swim Club,,"1766 Mendocino Dr, Concord, CA 94521", (925) 686-1333,forestparkpool@gmail.com,,"Swimming Instruction, Sports Clubs & Organizations, Sports Instruction ",https://www.yellowpages.com/concord-ca/mip/forest-park-swim-club-4181181
Temeku Golf Course,,"41687 Temeku Dr, Temecula, CA 92591", (909) 693-1440,,,"Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/temecula-ca/mip/temeku-golf-course-451332540
Redding Gun Club,,"3281 Ajax Ln, Bella Vista, CA 96008", (530) 549-4652,,,"Sports Clubs & Organizations, Gun Safety & Marksmanship Instruction, Rifle & Pistol Ranges, Schools, Sports & Entertainment Centers ",https://www.yellowpages.com/bella-vista-ca/mip/redding-gun-club-455380703
Palo Alto Tennis Club,,"Palo Alto, CA 94301", (650) 328-1911,,,"Sports Clubs & Organizations, Sports & Entertainment Centers ",https://www.yellowpages.com/palo-alto-ca/mip/palo-alto-tennis-club-4028965
Strawberry Farms,,"11 Strawberry Farm Rd, Irvine, CA 92612", (949) 551-1811,,,"Golf Courses, Private Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations, Wedding Supplies & Services ",https://www.yellowpages.com/irvine-ca/mip/strawberry-farms-3929602
Berkeley Soccer Club - ABSC,,"1442a Walnut St # 426, Berkeley, CA 94709", (510) 367-7226,toney@abscsoccer.com,,"Soccer Clubs, Athletic Organizations, Sports Clubs & Organizations, Sports Instruction ",https://www.yellowpages.com/berkeley-ca/mip/berkeley-soccer-club-absc-4003423
Sky High Sports,,"2880 Mead Ave, Santa Clara, CA 95051", (408) 492-1139,sjcinfo@jumpskyhigh.com,,"Sports & Entertainment Centers, Banquet Halls & Reception Facilities, Health Clubs, Recreation Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/santa-clara-ca/mip/sky-high-sports-3706110
Los Vecinos Swim Club,,"2715 2nd St, La Verne, CA 91750", (909) 593-5715,contact@losvecinosswimclub.org,,"Volunteer Placement Services, Clubs, Social Service Organizations, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/la-verne-ca/mip/los-vecinos-swim-club-3729309
The Auld Course,,"525 Hunte Pkwy, Chula Vista, CA 91914", (619) 482-4666,,,"Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/chula-vista-ca/mip/the-auld-course-3880400
Palm Springs Tennis Club,,"701 W Baristo Rd, Palm Springs, CA 92262", (760) 325-1441,tennisclub@tricommanagement.com,,"Tennis Courts-Private, Sports & Entertainment Centers, Sports Clubs & Organizations, Tennis Equipment & Supplies ",https://www.yellowpages.com/palm-springs-ca/mip/palm-springs-tennis-club-4271492
Mountain Vista Golf Club,,"38180 Del Webb Blvd, Palm Desert, CA 92211", (760) 200-2200,julie.reese@scpdca.com,Wedding Supplies.,"Sports Clubs & Organizations, Banquet Halls & Reception Facilities, Golf Courses, Golf Equipment & Supplies, Private Golf Courses, Sports & Entertainment Centers ",https://www.yellowpages.com/palm-desert-ca/mip/mountain-vista-golf-club-31057361
Eagle Springs Golf & Country Club,,"21722 Fairway Oaks Ln, Friant, CA 93626", (559) 325-8900,,,"Golf Courses, Golf Equipment & Supplies, Golf Practice Ranges, Private Clubs, Private Golf Courses, Sports & Entertainment Centers, Sports Clubs & Organizations ",https://www.yellowpages.com/friant-ca/mip/eagle-springs-golf-country-club-30500128
Pleasant Valley Aquatic Center,,"1030 Temple Ave, Camarillo, CA 93010", (805) 987-8198,,,"Swimming Instruction, Public Swimming Pools, Recreation Centers, Sports & Entertainment Centers, Sports Clubs & Organizations, Swimming Pool Dealers ",https://www.yellowpages.com/camarillo-ca/mip/pleasant-valley-aquatic-center-2905260
M & M Jewelers,,"266 Third Ave, Chula Vista, CA 91910", (619) 754-8401,mandmjlrscvca@aol.com,"Jewelry Sales, Ring Sizing, Optical Repair, Jewelry Repair, Watch Repair, Watch Battery Replacement.","Watch Repair, Advertising-Promotional Products, Bridal Shops, Business Coaches & Consultants, Clock Repair, Clothing Alterations, Clothing Stores, Jewelers, Jewelry Appraisers, Jewelry Engravers, Jewelry Repairing, Leather, Leather Goods, Metal Specialties, Optical Goods Repair, Opticians, Optometrists, Silversmiths & Goldsmiths, Sporting Goods, Watches, Wedding Supplies & Services ",https://www.yellowpages.com/chula-vista-ca/mip/m-m-jewelers-23830231?lid=1000322492462
Big Dean's Ocean Front Cafe',,"1615 Ocean Front Walk, Santa Monica, CA 90401", (424) 272-7445,Bigdeans1615@gmail.com,"Casual Dining, Happy Hour, Take Out, Event Planning, Entertainment, Full Service Restaurant, Parties, Burgers, Shrimp, Fish & Seafood Menus, Chicken, Baked Goods & Desserts, Turkey, Imported Beers, Appetizers, Steaks, Soups & Salads, Sausage, Beef, Sandwiches, Hot Dogs, Meats, Nachos, Sausages and Dogs, Seafood, Children's Menus, Cheeseburgers, Tacos 2 Per Order, Salads.","Restaurants, American Restaurants, Banquet Halls & Reception Facilities, Bar & Grills, Bars, Brew Pubs, Cocktail Lounges, Coffee Shops, Night Clubs, Seafood Restaurants, Sports Bars, Take Out Restaurants, Taverns, Tourist Information & Attractions, Wine Bars ",https://www.yellowpages.com/santa-monica-ca/mip/big-deans-ocean-front-cafe-7869430?lid=1002104082232
Bernie's Bike Shop,,"1911 Cable St, San Diego, CA 92107", (619) 880-4852,yasukohiga@gmail.com,"Custom Bike Fittings, Bike Sales, Wheel Building, Bike Chains Repair, Cleanups, Tune-Ups, Brake Pads And Cables Repair, Flat Tire Repairs, Bike Part Installation.","Electric Motors, Bicycle Racks & Security Systems, Bicycle Repair, Bicycle Shops, Motorcycle Dealers, Motorcycles & Motor Scooters-Parts & Supplies, Sporting Goods ",https://www.yellowpages.com/san-diego-ca/mip/bernies-bike-shop-21894175?lid=1002106213361
Slow Hand BBQ,,"601 Main St, Martinez, CA 94553", (925) 269-4509,jackfrengs@gmail.com,"Philly Cheesesteak Restaurants, Group Dining, Karaoke, Weddings, Banquets, College Scene Restaurants, Private Dining, Event Planning, Food Delivery, Banquet Facilities, Live Music, Take Out, Entertainment, Restaurants With Meeting Rooms, Bar, Casual Date Restaurants, BBQ Catering, Theme Restaurants, Highly Rated Restaurants, Outdoor Restaurants, Restaurants with Banquet Rooms, Happy Hour, Group Dining Restaurants, Private Parties, Romantic Restaurants, Inexpensive Restaurants, Parties, Business Dining, Outdoor Dining, Casual Dining, Bar & Grill, Celeb Hangout Restaurants, Party Rooms For Rent, Restaurants That Cater, Restaurants With Party Rooms, Delicatessens, Burgers, Fish & Seafood Menus, Chicken, American Food, Lunch, Desserts, Appetizers, Chili, Steaks, Soup, Barbeque Menus, Sandwiches, Hot Dogs, Alcoholic Beverages, Children's Menus, Dinner Menus, Fried Chicken, Wine, Salads.","Bar & Grills, Barbecue Restaurants, Bars, Caterers, Restaurants, Sports Bars ",https://www.yellowpages.com/martinez-ca/mip/slow-hand-bbq-546590639?lid=1002028689132
Mt  Shasta Spring Water,,"1878 Twin View Blvd, Redding, CA 96003", (530) 206-8568,bille@mtshastaspringwater.com,,"Water Companies-Bottled, Bulk, Etc, Beverages, Coffee Break Service & Supplies, General Merchandise, Sports Instruction, Swimming Pool Water Delivery, Water Coolers, Fountains & Filters, Water Skiing Instruction ",https://www.yellowpages.com/redding-ca/mip/mt-shasta-spring-water-534040662?lid=1002005771725
"Brady Brown Construction, Inc.",,"1835 A South Centre City, Escondido, CA 92025", (858) 746-9327,brady@bbctenniscourts.com,"Tennis Court Construction, Handball Court Construction.","Tennis Court Construction, Architects & Builders Services, Basketball Court Construction, Building Contractors, Building Contractors-Commercial & Industrial, Building Specialties, Concrete Contractors, Construction Consultants, Driveway Contractors, General Contractors, Golf Course Architects, Racquetball Courts, Recreation Centers, Sports & Entertainment Centers, Stadiums, Arenas & Athletic Fields, Tennis Court Enclosures, Tennis Courts ",https://www.yellowpages.com/escondido-ca/mip/brady-brown-construction-inc-2375747?lid=1002104402717
Kilmer's Swim Time LLC,,, (760) 652-8351,swimtime@sbcglobal.net,"Swim Coach Instruction, Lap Swimming.","Swimming Instruction, Sports Instruction ",https://www.yellowpages.com/nationwide/mip/kilmers-swim-time-llc-20981868?lid=1002025385766
Airborne Gymnastics,,"1515 Walsh Ave, Santa Clara, CA 95050", (669) 247-0844,fun@airborne-gymnastics.com,Instruction.,"Gymnastics Instruction, Sports Instruction ",https://www.yellowpages.com/santa-clara-ca/mip/airborne-gymnastics-11151443?lid=171775826
Mountain Air Sports,,"14 State St, Santa Barbara, CA 93101", (805) 617-4909,mountainairsports@hotmail.com,"purchases, Free Installation On, Free Installation, Rental & Leasing, Purchases, Ski and Snowboard, Rentals Demos. Repairs & Custom Boot Fitting, Equipment Rental, Ski . Snowboard . Hiking Travel Climbing, Free Parking, Running Shoes, Travel, Eyewear, Kayaks, Footwear, Custom Insoles, Car Racks, Caps, Repair, Fishing Equipment, Water Shoes, Maintenance & Repair, Backpacks, Jackets, Hiking Equipment, Water Sports, Ski, Outerwear, Camping, Custom Sporting Goods, Survival Gear, Footwear Car Racks. Hobie Kayaks, SNOWBOARD, Athletic Shoes, Softball Equipment, Gift Cards, Snowboard, Watches, Swimwear, Shoes.","Sporting Goods, Camping Equipment, Skiing Equipment ",https://www.yellowpages.com/santa-barbara-ca/mip/mountain-air-sports-6167213?lid=1001677762477
Splitz Second Shooting Firearm Training & Services,,"162 Roymar Rd, Oceanside, CA 92058", (760) 576-5128,splitzss2015@gmail.com,"Gun Repair, Firearms Training, Concealed Carry Permits.","Sporting Goods, Gun Safety & Marksmanship Instruction, Guns & Gunsmiths ",https://www.yellowpages.com/oceanside-ca/mip/splitz-second-shooting-firearm-training-services-558828667?lid=1002030304967
Bernie's Bike Shop,,"1911 Cable St, San Diego, CA 92107", (619) 359-8526,,,"Sporting Goods, Bicycle Racks & Security Systems, Bicycle Repair, Bicycle Shops ",https://www.yellowpages.com/san-diego-ca/mip/bernies-bike-shop-550457214?lid=1001404349945
Northwest Martial Arts Center,,"2676 Gateway Dr, Anderson, CA 96007", (530) 378-1169,,,"Sporting Goods, Health & Fitness Program Consultants, Health Clubs, Health Resorts, Martial Arts Instruction, Personal Fitness Trainers, Physical Fitness Consultants & Trainers, Self Defense Instruction & Equipment ",https://www.yellowpages.com/anderson-ca/mip/northwest-martial-arts-center-549489904?lid=1002004482767
Sport About Screenprinting-Embroidery & Graphics,,"2853 Park Ave, Soquel, CA 95073", (831) 476-8180,sportabout65@sbcglobal.net,,"Sporting Goods, Clothing Stores, Commercial Artists, Embroidery, Printers-Screen Printing, Printing Services, Screen Printing, T-Shirts, T-Shirts-Wholesale & Manufacturers, Uniforms ",https://www.yellowpages.com/soquel-ca/mip/sport-about-screenprinting-embroidery-graphics-526400528?lid=1001844086023
Hollywood Hotel - The Hotel Of Hollywood,,"1160 N Vermont Ave, Los Angeles, CA 90029", (323) 508-2737,jeff@hollywoodhotel.net,,"Banquet Halls & Reception Facilities, Apartments, Bars, Clubs, Cocktail Lounges, Comedy Clubs, Conference Centers, Hotels, Lodging, Motels, Party & Convention Decorating, Resorts, Restaurants, Sports Bars, Trade Shows, Expositions & Fairs, Wine Bars ",https://www.yellowpages.com/los-angeles-ca/mip/hollywood-hotel-the-hotel-of-hollywood-12241874?lid=1001157157925
Los Osos Valley Equine Farm,,"1869 Los Osos Valley Rd, Los Osos, CA 93402", (805) 528-0559,jupiter91@att.net,,"Sporting Goods, Horse Equipment & Services, Horse Stables, Horse Training, Livestock Equipment & Supplies, Riding Academies, Riding Apparel & Equipment, Stables ",https://www.yellowpages.com/los-osos-ca/mip/los-osos-valley-equine-farm-461726290?lid=1000116780005
A V Party Rentals,,"23800 Newhall Ave, Newhall, CA 91321", (661) 259-2151,client.sales@avparty.com,"Set-Up And Strike, No Sales Tax On Rentals, Community Discounts, Professional Delivery Service Delivery And Pick Up, Computerized Event Drawings & Permits, Installation, Party Planning, Wedding Supplies, Party Favors, Balloons.","Sporting Goods, Amusement Devices, Camping Equipment, Party Supply Rental, Tents, Tents-Rental ",https://www.yellowpages.com/newhall-ca/mip/a-v-party-rentals-461717857?lid=1002004748361
Wimpey's Pawn Shop,,"750 W Foothill Blvd, Azusa, CA 91702", (626) 334-9758,wimpeydude@yahoo.com,"Trade, We Buy Gold Silver Platinum, Loans, Renewable 5 Month Loans, We Buy Gold, Pawnbroker Services, We Loan On Vehicles, Buy Sell Loan Trade, Buy-Sell Trade Guns, Hablamos Espanol, Loan, Buy & Trade, Private Consultations, Sell, Jewelry Repair & Appraisals, 30 Day Interest Free Loans, Precious Metal Recycling, Buy, Tennis Bracelets, Gemstones, Coins & Collectables, Estate Jewelry, Audio Video, Timepieces, Diamonds, Musical Instruments, Jewelry, Fishing Gear, Antique Jewelry, Gold, Rings, Sound Equipment, Coins, Diamond Rings, Instruments, Earrings, Sporting Goods, Tools, Cocktail Rings, Anniversary Rings, Guns, Estate Antiques & Collectibles, Cameras, Wedding Rings, Engagement Rings, Electronics, Silver, Diamond Jewelry.","Sporting Goods, Gold, Silver & Platinum Buyers & Dealers, Guns & Gunsmiths, Jewelers, Jewelry Appraisers, Jewelry Buyers, Musical Instruments, Pawnbrokers, Payday Loans, Tools ",https://www.yellowpages.com/azusa-ca/mip/wimpeys-pawn-shop-47444?lid=1002004422491
Northwest Martial Arts,,"2676 Gateway Dr, Anderson, CA 96007", (530) 378-1169,,,"Sporting Goods, Exercise & Physical Fitness Programs, Health Clubs, Health Resorts, Martial Arts Equipment & Supplies, Martial Arts Instruction, Self Defense Instruction & Equipment ",https://www.yellowpages.com/anderson-ca/mip/northwest-martial-arts-461710871?lid=1002004483752
Ski Clinic,,"801 Fulton Shipyard Rd, Antioch, CA 94509", (925) 706-2858,info@theskiclinic.com,,"Sporting Goods, Boat Covers, Tops & Upholstery, Boat Equipment & Supplies, Boat Maintenance & Repair, Machine Shops, Personal Watercraft, Skiing Equipment, Water Skiing Equipment & Supplies ",https://www.yellowpages.com/antioch-ca/mip/ski-clinic-458774206?lid=1000116746530
Centri Pedal Bikes,,"3636 Thornton Ave, Fremont, CA 94536", (510) 742-2265,james@centripedalbikes.com,,"Sporting Goods, Bicycle Rental, Bicycle Repair, Bicycle Shops, Bicycles-Wholesale & Manufacturers ",https://www.yellowpages.com/fremont-ca/mip/centri-pedal-bikes-548793049?lid=1000769530489
The Gun Shop,,"44633 Sierra Hwy, Lancaster, CA 93534", (661) 429-2409,jtgunshopbills@hotmail.com,"CutleryGun SafesGunsmithingMarksmanship, Cases, New Guns, Optics, Broadheads, Ammunition Reloading Supplies, Gunpowder, Holsters, Scopes, Protective Eyewear, Custom Guns, Gun Racks, Optics & Scopes, Long Guns, Used Gun Safes, Guns, Gun Scopes, Sport Shooting Supplies, Sporting Guns, Reloading Equipment, Black Powder Supplies, Gun Safes, Shotguns, Cases & Safes, Used Guns, Hunting Knives, Targets.","Sporting Goods, Guns & Gunsmiths, Rifle & Pistol Ranges ",https://www.yellowpages.com/lancaster-ca/mip/the-gun-shop-2444260?lid=1002106213228
Premium Suit Bespoke Tailors,,"1010 E Imperial Hwy Ste B2-b3, Brea, CA 92821", (714) 784-6401,eddiegarcia@premiumsuittailors.com,"Bespoke Clothing, Resizing, Buttonholes, Alterations, Shirt & Blouse Alterations, Wedding Consultations, Bridesmaid Alterations, Zipper Repair, Dress Alterations, Hemming, Wedding Dress Hems, Custom Made Mens Suits, Formal Wear Alterations, Pant Alterations, Suit Alterations, Dress Shirts, Cufflinks, Custom Formal Wear, Bridesmaid Dresses, Suits, Bridal Gowns, Jackets, Tuxedos.","Sporting Goods, Art Supplies, Arts & Crafts Supplies, Bridal Shops, Ceramics-Equipment & Supplies, Clothing Alterations, Clothing Stores, Craft Supplies, Custom Made Men's Suits, Decorative Ceramic Products, Fabric Shops, Formal Wear Rental & Sales, Men's Clothing, Picture Frames, Picture Framing, Pottery, Riding Apparel & Equipment, Tailors, Wedding Supplies & Services, Wedding Tailoring & Alterations ",https://www.yellowpages.com/brea-ca/mip/premium-suit-bespoke-tailors-505475782?lid=1002073225132
Waynes  Locksmith Services,,"669 Placerville Dr, Placerville, CA 95667", (530) 626-5531,wayneslocksmith@hotmail.com,"**Autos** *Cars Opened*Keys Made for Cars *High Security Transponder Keys **Residential** *Locks Rekeyed*Dead Bolt Locks*Patio Door Locks - New **Commercial** *Key Control*Master Keying*High Security Lock Systems*Exit & Door Hardware*Firecode & ADA Compliance **Safes** *Sales & Installation *Safes Opened *Combination Changed, Sliding Door Locks, Keyless Entry Deadbolts, Locksmiths' Supplies, Letter Openers, Safes & Vaults, Keys, Deadbolts, Padlocks, High-Security Locks, Magnetic Locks, Auto Locks, Home Locks, Wholesale Locks, Antique Locks, Luggage Locks, Storefront Locks, Wall Safes, Decorative Locks, Keyless Entry Systems, Electronic Access Control Systems, Keydrop Lock Boxes.","Sporting Goods, Access Control Systems, Bank Equipment & Supplies, Guns & Gunsmiths, Keys, Locks & Locksmiths, Locks-Wholesale & Manufacturers, Locksmiths Equipment & Supplies, Safes & Vaults, Safes & Vaults-Opening & Repairing, Security Guard & Patrol Service ",https://www.yellowpages.com/placerville-ca/mip/waynes-locksmith-services-13609509?lid=1002081181285
946 Billiards Inc.,,"946 West El Camino Real, Sunnyvale, CA 94087", (408) 338-0686,946billiards@gmail.com,"Happy Hour, Take Out, Entertainment, Bar, Late Night Dining, Custom Menus, Spaghetti, Appetizers, Breadsticks, Pizza, Wine.","Italian Restaurants, Bars, Billiard Equipment & Supplies, Concert Halls, Pool Halls, Recreation Centers, Restaurants, Sports & Entertainment Centers, Sports Bars, Theatres ",https://www.yellowpages.com/sunnyvale-ca/mip/946-billiards-inc-552516229?lid=1002101527729
Tibon's Goju Ryu Fighting Arts,,"923 N Yosemite St, Stockton, CA 95203", (209) 465-0943,senseitibon@tibonkarate.com,,"Sporting Goods, Martial Arts Equipment & Supplies, Martial Arts Instruction, Self Defense Instruction & Equipment ",https://www.yellowpages.com/stockton-ca/mip/tibons-goju-ryu-fighting-arts-11562436?lid=1000116532195
Scott Perlstein Tennis Enterprises,,"22 Treetop Ln, San Mateo, CA 94402", (650) 343-7343,perl@tennispro.com,,"Tennis Court Construction, Building Contractors, Building Specialties, Sports Clubs & Organizations, Sports Instruction, Tennis Courts, Tennis Courts-Private, Tennis Instruction ",https://www.yellowpages.com/san-mateo-ca/mip/scott-perlstein-tennis-enterprises-467875819?lid=1002102512546
